sim_id,converged,alpha_true,alpha_mean,alpha_sd,alpha_hdi_low,alpha_hdi_high,alpha_covered,alpha_error,alpha_z,beta_weight_true,beta_weight_mean,beta_weight_sd,beta_weight_hdi_low,beta_weight_hdi_high,beta_weight_covered,beta_weight_error,beta_weight_z,beta_year_true,beta_year_mean,beta_year_sd,beta_year_hdi_low,beta_year_hdi_high,beta_year_covered,beta_year_error,beta_year_z,sigma_true,sigma_mean,sigma_sd,sigma_hdi_low,sigma_hdi_high,sigma_covered,sigma_error,sigma_z,nu_true,nu_mean,nu_sd,nu_hdi_low,nu_hdi_high,nu_covered,nu_error,nu_z,max_rhat,min_ess_bulk,n_divergent
0,True,3.1,3.101,0.009,3.086,3.116,True,0.0009999999999998899,0.11111111111109888,-0.9,-0.905,0.023,-0.943,-0.869,True,-0.0050000000000000044,-0.21739130434782628,0.03,0.032,0.003,0.028,0.037,True,0.0020000000000000018,0.6666666666666673,0.12,0.114,0.01,0.098,0.131,True,-0.0059999999999999915,-0.5999999999999991,15.0,9.014,5.779,2.787,15.531,True,-5.986000000000001,-1.0358193459075966,1.0,1705.0,0
1,True,3.1,3.07,0.009,3.055,3.085,False,-0.03000000000000025,-3.333333333333361,-0.9,-0.865,0.023,-0.904,-0.827,True,0.03500000000000003,1.521739130434784,0.03,0.028,0.003,0.024,0.033,True,-0.0019999999999999983,-0.6666666666666661,0.12,0.124,0.009,0.109,0.137,True,0.0040000000000000036,0.44444444444444486,15.0,19.666,12.259,4.397,36.371,True,4.666,0.3806183212333796,1.0,1896.0,0
2,True,3.1,3.092,0.009,3.078,3.108,True,-0.008000000000000007,-0.8888888888888897,-0.9,-0.869,0.022,-0.907,-0.834,True,0.031000000000000028,1.4090909090909105,0.03,0.029,0.003,0.025,0.034,True,-0.0009999999999999974,-0.3333333333333325,0.12,0.119,0.01,0.103,0.135,True,-0.0010000000000000009,-0.10000000000000009,15.0,11.586,8.011,3.5,21.18,True,-3.4139999999999997,-0.42616402446635876,1.0,2156.0,0
3,True,3.1,3.098,0.009,3.084,3.114,True,-0.002000000000000224,-0.2222222222222471,-0.9,-0.871,0.021,-0.908,-0.837,True,0.029000000000000026,1.380952380952382,0.03,0.028,0.003,0.023,0.032,True,-0.0019999999999999983,-0.6666666666666661,0.12,0.121,0.007,0.109,0.133,True,0.0010000000000000009,0.142857142857143,15.0,24.793,13.687,6.659,44.856,True,9.793,0.7154964564915614,1.0,2920.0,0
4,True,3.1,3.094,0.009,3.081,3.108,True,-0.006000000000000227,-0.6666666666666919,-0.9,-0.885,0.023,-0.925,-0.849,True,0.015000000000000013,0.6521739130434788,0.03,0.03,0.002,0.026,0.034,True,0.0,0.0,0.12,0.118,0.007,0.106,0.128,True,-0.0020000000000000018,-0.285714285714286,15.0,26.057,14.173,6.218,45.382,True,11.056999999999999,0.7801453467861426,1.0,2711.0,0
