,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
mu[66],76.7812,0.0416647,2.39861,2.46452,72.953,76.7397,80.6732,3300.16,2852.74,2285.43,0.999498
mu[67],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[68],76.7812,0.0416647,2.39861,2.46452,72.953,76.7397,80.6732,3300.16,2852.74,2285.43,0.999498
mu[69],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[70],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[71],76.7812,0.0416647,2.39861,2.46452,72.953,76.7397,80.6732,3300.16,2852.74,2285.43,0.999498
mu[72],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[73],76.7812,0.0416647,2.39861,2.46452,72.953,76.7397,80.6732,3300.16,2852.74,2285.43,0.999498
mu[74],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[75],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[76],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[77],76.7812,0.0416647,2.39861,2.46452,72.953,76.7397,80.6732,3300.16,2852.74,2285.43,0.999498
mu[78],84.6957,0.0411086,2.56666,2.51786,80.6413,84.6188,89.0918,3886.49,3554.12,2691.47,0.999824
mu[79],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[80],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[81],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[82],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[83],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[84],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[85],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[86],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[87],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[88],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[89],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[90],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[91],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[92],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[93],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[94],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[95],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[96],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[97],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[98],70.8904,0.0376364,2.23839,2.26225,67.0575,70.9517,74.4262,3505.95,3459.69,2427.94,1.00129
mu[99],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[100],77.923,0.0314749,2.13469,2.11903,74.5044,77.9134,81.5869,4628.58,3393.85,3205.38,1.00004
mu[101],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[102],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[103],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[104],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[105],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[106],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[107],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[108],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[109],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[110],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[111],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[112],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[113],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[114],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[115],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[116],78.3759,0.0350715,2.4746,2.46568,74.2167,78.441,82.3401,5054.45,3691.09,3500.31,1.00102
mu[117],71.8604,0.0328055,2.27632,2.22447,67.9294,71.9363,75.4584,4868.27,3549.53,3371.38,1.00254
mu[118],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[119],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[120],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[121],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[122],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[123],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[124],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[125],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[126],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[127],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[128],78.4712,0.0563675,2.72976,2.73065,74.034,78.3965,83.1457,2313.8,2356.74,1602.35,1.00037
mu[129],78.4712,0.0563675,2.72976,2.73065,74.034,78.3965,83.1457,2313.8,2356.74,1602.35,1.00037
mu[130],78.4712,0.0563675,2.72976,2.73065,74.034,78.3965,83.1457,2313.8,2356.74,1602.35,1.00037
mu[131],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[132],78.4712,0.0563675,2.72976,2.73065,74.034,78.3965,83.1457,2313.8,2356.74,1602.35,1.00037
mu[133],78.4712,0.0563675,2.72976,2.73065,74.034,78.3965,83.1457,2313.8,2356.74,1602.35,1.00037
mu[134],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[135],78.4712,0.0563675,2.72976,2.73065,74.034,78.3965,83.1457,2313.8,2356.74,1602.35,1.00037
mu[136],85.2873,0.0377014,2.35932,2.33593,81.4707,85.2672,89.2759,3944.26,3235.69,2731.48,1.00073
mu[137],73.2759,0.0261919,1.93024,1.82938,70.1011,73.2948,76.4385,5529.69,3334.88,3829.43,1.00053
mu[138],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
mu[139],80.4294,0.0295554,2.19394,2.11399,76.8026,80.3868,84.1096,5637.18,3738.1,3903.86,1.00035
