,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[69],-3.45549,0.00326234,0.208805,0.179131,-3.8638,-3.41539,-3.19911,4158.69,3691.79,2879.98,1.0
log_lik[70],-5.02809,0.00801784,0.525768,0.524877,-5.9141,-5.00579,-4.19672,4364.2,3496.45,3022.3,0.999936
log_lik[71],-3.22766,0.00146074,0.0953323,0.0811572,-3.39674,-3.21551,-3.10216,4639.74,3447.0,3213.12,1.00074
log_lik[72],-3.2031,0.0013155,0.079357,0.0689286,-3.33877,-3.19622,-3.09032,3932.53,3325.26,2723.36,1.00201
log_lik[73],-4.22706,0.00625631,0.366007,0.379671,-4.86515,-4.19836,-3.68759,3551.32,2820.1,2459.37,0.999818
log_lik[74],-3.7454,0.00474993,0.297715,0.26825,-4.31713,-3.6965,-3.35678,3880.57,3657.78,2687.37,0.999963
log_lik[75],-3.32937,0.00262552,0.149698,0.139377,-3.61004,-3.30211,-3.13218,3396.52,3587.57,2352.16,1.00043
log_lik[76],-4.57267,0.00698298,0.450021,0.447637,-5.34255,-4.5515,-3.86702,4226.28,3568.09,2926.79,0.999939
log_lik[77],-3.84165,0.00504606,0.295939,0.293165,-4.38319,-3.80268,-3.43576,3277.6,2839.84,2269.81,0.999486
log_lik[78],-3.30375,0.0024424,0.137922,0.125168,-3.56086,-3.27747,-3.12477,3329.22,3488.19,2305.55,1.00049
log_lik[79],-4.40784,0.00593308,0.370082,0.378221,-5.03299,-4.38739,-3.83305,4010.44,3458.81,2777.31,1.00062
log_lik[80],-3.20662,0.00119753,0.0759092,0.0691925,-3.33975,-3.20034,-3.09363,4159.99,3385.28,2880.88,1.00041
log_lik[81],-4.37991,0.0052543,0.358358,0.350182,-5.02719,-4.34772,-3.85816,4726.39,3557.1,3273.12,0.999768
log_lik[82],-3.24241,0.00142501,0.0935154,0.0830638,-3.41502,-3.23034,-3.11097,4469.98,3385.64,3095.55,1.00013
log_lik[83],-3.63248,0.00372565,0.233067,0.216837,-4.06601,-3.59716,-3.32865,3719.04,3603.83,2575.52,1.00098
log_lik[84],-3.87154,0.00458893,0.27411,0.28027,-4.33463,-3.85287,-3.45611,3711.07,3651.55,2569.99,1.00092
log_lik[85],-3.32352,0.00187997,0.12602,0.116037,-3.55355,-3.30442,-3.15077,4598.86,3569.42,3184.8,0.999809
log_lik[86],-3.19075,0.00118972,0.0693818,0.0648478,-3.31226,-3.18567,-3.08685,3512.43,3068.28,2432.43,1.00052
log_lik[87],-3.25339,0.00149179,0.0984255,0.0872992,-3.43361,-3.24022,-3.11709,4510.77,3416.34,3123.8,1.00007
log_lik[88],-4.32626,0.00519587,0.34912,0.345047,-4.92479,-4.30086,-3.78674,4519.33,3722.52,3129.73,0.99982
log_lik[89],-3.48297,0.00277119,0.18128,0.172218,-3.83512,-3.45707,-3.23818,4440.19,3795.74,3074.93,0.999847
log_lik[90],-3.78749,0.00433824,0.256834,0.261022,-4.22306,-3.76691,-3.39698,3661.94,3550.11,2535.97,1.0012
log_lik[91],-3.96113,0.00484055,0.291658,0.298954,-4.45532,-3.94208,-3.51511,3767.6,3531.98,2609.14,1.00079
log_lik[92],-4.13176,0.00467262,0.316523,0.3072,-4.70657,-4.10038,-3.67297,4686.06,3394.55,3245.19,0.999884
log_lik[93],-3.3606,0.00225999,0.145299,0.132498,-3.63873,-3.33738,-3.16955,4282.22,3833.85,2965.53,0.999847
log_lik[94],-3.19366,0.0010533,0.0695699,0.0659804,-3.31476,-3.18953,-3.09182,4699.57,3414.4,3254.55,1.00157
log_lik[95],-3.1914,0.00109255,0.0676597,0.0653704,-3.31058,-3.1876,-3.09015,4058.66,3241.07,2810.71,1.00163
log_lik[96],-3.25727,0.001515,0.100116,0.0891361,-3.4407,-3.24341,-3.11928,4519.66,3577.1,3129.96,1.00005
log_lik[97],-3.22868,0.00167749,0.0905287,0.0820126,-3.39925,-3.21768,-3.10212,3045.9,3210.04,2109.35,1.00181
log_lik[98],-3.983,0.0051844,0.3136,0.292788,-4.56525,-3.93993,-3.55564,3448.66,3290.48,2388.27,1.00106
log_lik[99],-3.49952,0.00283332,0.185662,0.176537,-3.85992,-3.47403,-3.24793,4452.2,3834.35,3083.24,0.999809
log_lik[100],-6.02177,0.00904079,0.603071,0.594326,-7.05322,-5.98537,-5.07743,4493.25,3645.88,3111.67,1.00033
log_lik[101],-3.44973,0.00252041,0.183322,0.163053,-3.80317,-3.41719,-3.20929,5368.61,3610.57,3717.88,1.001
log_lik[102],-3.62215,0.00347915,0.24374,0.238873,-4.06331,-3.59531,-3.28008,5089.76,3654.46,3524.77,1.00063
log_lik[103],-4.14062,0.00467471,0.332475,0.324142,-4.71786,-4.12098,-3.62679,5261.2,3801.98,3643.49,1.00159
log_lik[104],-3.63519,0.00339655,0.226708,0.220602,-4.03696,-3.61461,-3.29823,4817.85,3878.19,3336.46,1.00212
log_lik[105],-3.21653,0.00147765,0.0894057,0.077208,-3.37882,-3.20416,-3.09647,3724.95,3194.17,2579.61,1.00119
log_lik[106],-3.23501,0.00166997,0.0943838,0.0856853,-3.4051,-3.22204,-3.1034,3333.96,3409.56,2308.83,1.00185
log_lik[107],-3.20355,0.00135983,0.079269,0.0694474,-3.342,-3.19524,-3.09453,3473.55,3187.47,2405.5,1.00143
log_lik[108],-4.07165,0.00508428,0.358001,0.344694,-4.71839,-4.02552,-3.56776,5091.03,3765.3,3525.65,1.00088
log_lik[109],-3.24726,0.00177525,0.106786,0.0922735,-3.44856,-3.23078,-3.10527,4393.07,3786.11,3042.29,1.00026
log_lik[110],-3.98635,0.00432414,0.303073,0.296192,-4.51184,-3.97013,-3.52349,5153.76,3839.74,3569.08,1.0017
log_lik[111],-3.45742,0.00255534,0.185702,0.165302,-3.8133,-3.42456,-3.21355,5349.88,3609.46,3704.91,1.00096
log_lik[112],-3.32595,0.00221602,0.145572,0.13452,-3.5965,-3.30163,-3.13877,4899.58,3878.75,3393.06,1.0003
log_lik[113],-3.33633,0.00196354,0.144315,0.122094,-3.61864,-3.30935,-3.15485,5722.71,3476.68,3963.1,1.00064
log_lik[114],-3.36446,0.00244386,0.165561,0.143552,-3.68224,-3.33195,-3.1586,5112.87,3870.88,3540.77,1.00043
log_lik[115],-4.44709,0.00591829,0.420199,0.413508,-5.1808,-4.4201,-3.80532,5125.06,3946.38,3549.21,1.00012
log_lik[116],-3.60929,0.00353697,0.246468,0.230271,-4.066,-3.56896,-3.27985,5142.24,3840.57,3561.11,1.00047
log_lik[117],-3.35397,0.0020561,0.150975,0.129689,-3.64859,-3.32574,-3.16249,5660.23,3541.71,3919.83,1.00072
log_lik[118],-3.2721,0.00162197,0.115404,0.095779,-3.49545,-3.25222,-3.12272,5446.02,3598.17,3771.48,1.00123
log_lik[119],-3.22711,0.00129483,0.0914579,0.0752951,-3.39934,-3.21516,-3.10204,5439.28,3722.03,3766.81,1.00136
log_lik[120],-4.17797,0.00562629,0.350779,0.343122,-4.79058,-4.1493,-3.64287,4261.75,3606.41,2951.35,1.00059
log_lik[121],-3.24482,0.0020418,0.106045,0.0926443,-3.44181,-3.22578,-3.10764,2959.82,3191.1,2049.74,1.00127
log_lik[122],-3.59418,0.00338913,0.227872,0.216496,-4.03039,-3.56093,-3.2863,4244.41,3643.03,2939.34,1.001
log_lik[123],-3.32509,0.0019672,0.13909,0.120967,-3.59769,-3.30101,-3.14845,5078.22,3594.51,3516.77,1.00163
log_lik[124],-3.66147,0.00415193,0.24406,0.240417,-4.09684,-3.63492,-3.30784,3819.12,3464.89,2644.82,1.00083
log_lik[125],-3.33619,0.00203459,0.143629,0.125108,-3.61772,-3.31167,-3.15454,4972.45,3559.58,3443.52,1.00146
log_lik[126],-3.30826,0.00254055,0.136234,0.125045,-3.56237,-3.28555,-3.13137,3076.66,3394.84,2130.65,1.00146
log_lik[127],-3.23829,0.00197783,0.102396,0.0892304,-3.42657,-3.22079,-3.10494,2941.87,3217.87,2037.3,1.00106
log_lik[128],-3.2377,0.00165809,0.110586,0.0837041,-3.4418,-3.21777,-3.1019,4828.89,3809.56,3344.1,1.00046
log_lik[129],-6.90915,0.0141745,0.825022,0.823409,-8.31331,-6.88861,-5.62636,3488.36,3136.26,2415.76,1.00036
log_lik[130],-3.82781,0.00667156,0.318132,0.321224,-4.40352,-3.79997,-3.35923,2441.35,2593.55,1690.68,1.00025
log_lik[131],-5.00795,0.00827637,0.512136,0.510455,-5.93977,-4.96701,-4.25177,3535.11,3028.15,2448.13,1.00095
log_lik[132],-3.40823,0.00434821,0.190817,0.186013,-3.77354,-3.37848,-3.15557,2021.81,2356.42,1400.14,1.0005
log_lik[133],-3.24047,0.00169164,0.112673,0.0845908,-3.44962,-3.2193,-3.10288,4811.28,3808.06,3331.91,1.00029
log_lik[134],-3.86482,0.00479527,0.289798,0.285676,-4.37641,-3.83871,-3.43478,4033.04,3456.3,2792.96,1.0007
log_lik[135],-3.28685,0.00223772,0.143044,0.1077,-3.56353,-3.25447,-3.12178,4201.07,3825.51,2909.33,1.00037
log_lik[136],-3.20228,0.00151583,0.0787381,0.0727212,-3.33907,-3.1951,-3.09192,2952.28,3086.87,2044.51,1.0008
log_lik[137],-3.48863,0.00227695,0.164477,0.150853,-3.78534,-3.46801,-3.2613,5461.09,3249.3,3781.92,0.999938
log_lik[138],-3.59588,0.00292434,0.213061,0.196599,-3.98663,-3.57425,-3.29277,5573.28,3961.44,3859.61,1.00004
log_lik[139],-3.60163,0.00296506,0.217019,0.200935,-4.00568,-3.57274,-3.29855,5687.9,3846.36,3938.99,1.00019
log_lik[140],-3.19026,0.00115159,0.0687501,0.0652744,-3.30653,-3.18595,-3.08674,3682.95,2801.78,2550.52,1.00123
log_lik[141],-8.12521,0.0110828,0.790257,0.765903,-9.49844,-8.07248,-6.91158,5049.16,3445.91,3496.65,0.999759
log_lik[142],-3.49054,0.00231294,0.165289,0.157105,-3.78794,-3.47409,-3.25196,5405.98,3388.46,3743.76,1.00009
log_lik[143],-3.18478,0.00105798,0.063898,0.0616404,-3.29029,-3.18296,-3.08652,3778.96,3165.46,2617.01,1.00061
log_lik[144],-3.70105,0.00289762,0.209812,0.196883,-4.07126,-3.68305,-3.39155,5430.04,3338.9,3760.42,1.00044
log_lik[145],-4.83779,0.00584618,0.442957,0.433282,-5.62192,-4.80679,-4.16329,5496.16,3688.96,3806.2,1.00059
log_lik[146],-4.24063,0.00476463,0.347964,0.324845,-4.86148,-4.20688,-3.72981,5502.49,4001.82,3810.59,1.00091
log_lik[147],-3.26889,0.00161204,0.112251,0.0968268,-3.47824,-3.25087,-3.12543,5161.9,3550.09,3574.72,1.00137
log_lik[148],-3.28097,0.0015112,0.104146,0.0922692,-3.47153,-3.26789,-3.13968,5032.69,3496.01,3485.24,1.00019
log_lik[149],-4.49144,0.00514964,0.38763,0.3789,-5.17891,-4.4609,-3.90586,5899.03,3768.85,4085.2,1.00052
log_lik[150],-4.24063,0.00476463,0.347964,0.324845,-4.86148,-4.20688,-3.72981,5502.49,4001.82,3810.59,1.00091
log_lik[151],-4.05543,0.00419027,0.310943,0.298819,-4.61516,-4.02825,-3.59366,5753.22,3920.38,3984.23,0.999902
log_lik[152],-3.19359,0.00117796,0.0707842,0.0663765,-3.31128,-3.18847,-3.08604,3723.87,3412.28,2578.86,1.00064
log_lik[153],-3.45814,0.00221606,0.157554,0.147514,-3.74548,-3.44281,-3.23296,5371.6,3335.53,3719.95,1.00008
log_lik[154],-3.50545,0.00233117,0.168616,0.15457,-3.8094,-3.4843,-3.2727,5467.78,3219.66,3786.55,0.999996
log_lik[155],-3.3165,0.00165943,0.116206,0.103288,-3.52683,-3.3021,-3.15899,5211.45,3524.91,3609.04,1.00015
log_lik[156],-3.35086,0.00198978,0.144412,0.129212,-3.62315,-3.32776,-3.16311,5387.54,3664.01,3730.98,1.00122
log_lik[157],-3.25492,0.00139569,0.0945277,0.0834809,-3.42693,-3.24353,-3.12513,4824.72,3654.35,3341.22,1.00022
log_lik[158],-3.18936,0.00110571,0.0674052,0.0649637,-3.30394,-3.18638,-3.08737,3878.58,3269.19,2686.0,1.00097
log_lik[159],-3.27635,0.00149116,0.102493,0.0904744,-3.46259,-3.26337,-3.13663,5008.72,3597.02,3468.64,1.00014
log_lik[160],-3.69856,0.00288081,0.211895,0.192958,-4.07859,-3.67376,-3.39643,5482.16,3435.65,3796.51,1.00023
y_rep[1],73.6684,0.156405,9.78582,10.0674,57.874,73.4497,89.5628,3918.57,3892.93,2713.69,0.999995
y_rep[2],81.4786,0.15472,9.82508,9.72039,66.0672,81.3738,98.1986,4119.29,3741.57,2852.69,0.999643
y_rep[3],81.6794,0.166249,10.0257,10.1754,65.3492,81.6118,98.1412,3675.4,3829.75,2545.29,0.999942
y_rep[4],73.5696,0.15183,9.6456,9.68005,57.5557,73.4887,89.435,4057.0,3847.18,2809.55,0.999832
y_rep[5],73.4544,0.152164,9.87465,9.74676,57.0872,73.5685,89.3889,4226.76,4015.54,2927.12,1.00008
y_rep[6],73.4374,0.156427,9.88678,10.1829,57.0491,73.441,89.4759,4011.6,3977.29,2778.11,0.999765
y_rep[7],73.8526,0.151633,9.67651,9.58144,57.9072,73.7414,89.79,4094.0,3927.93,2835.18,1.00009
y_rep[8],81.7185,0.157532,10.1668,9.78627,65.5278,81.6043,98.7602,4171.58,3879.67,2888.91,1.00019
y_rep[9],73.5796,0.151593,9.77022,9.46001,57.6821,73.7062,89.8509,4163.94,3917.3,2883.62,1.00016
y_rep[10],73.4643,0.153228,9.7258,9.53981,57.9981,73.3485,89.3605,4061.4,3915.92,2812.6,1.00108
y_rep[11],81.5693,0.154554,9.98983,10.1239,65.2181,81.3905,97.7973,4179.22,3898.02,2894.2,0.999597
y_rep[12],73.4768,0.154037,9.65647,9.47259,57.8218,73.3574,89.4189,4013.27,3906.49,2779.27,0.99984
y_rep[13],73.4507,0.150426,9.639,9.78225,57.7591,73.2602,89.3215,4132.28,3798.66,2861.69,1.00094
y_rep[14],73.6643,0.149443,9.62503,9.54576,58.3313,73.4471,89.6514,4179.63,3851.56,2894.48,0.999607
y_rep[15],73.7236,0.148551,9.7777,9.77878,57.6048,73.4985,89.6099,4342.15,4058.17,3007.03,1.0002
y_rep[16],76.3763,0.15777,9.74217,9.7211,60.476,76.5622,92.3318,3851.02,3845.95,2666.91,0.99989
y_rep[17],70.5064,0.159398,9.72028,9.68439,54.3177,70.7874,86.332,3765.14,3658.09,2607.44,1.00015
y_rep[18],76.3839,0.156284,9.78265,9.9875,60.6675,76.4874,92.0705,3960.01,3336.25,2742.39,1.00084
y_rep[19],76.5511,0.163819,10.0083,9.8963,60.5797,76.5001,93.0755,3756.14,3814.33,2601.2,0.999907
y_rep[20],70.6668,0.156838,9.72774,9.8131,54.7456,70.6161,86.7217,3839.88,3766.42,2659.19,1.00042
y_rep[21],76.0453,0.160949,9.62854,9.34195,59.9533,76.023,92.08,3594.58,3997.61,2489.32,1.0008
y_rep[22],76.5243,0.150541,9.8506,9.55795,60.3082,76.5162,93.1422,4289.0,4046.01,2970.22,0.999908
y_rep[23],76.2836,0.147119,9.72329,9.62875,60.372,76.2955,92.4029,4375.11,4009.61,3029.86,1.00043
y_rep[24],76.3329,0.151148,9.73204,9.74,60.4142,76.2281,92.2939,4143.26,3990.01,2869.3,1.00053
y_rep[25],76.2591,0.16394,9.88145,9.83603,59.8136,76.4546,92.3983,3670.89,4012.87,2542.17,1.00014
y_rep[26],76.4177,0.164632,9.99086,9.93009,59.999,76.4171,92.9943,3757.95,3972.24,2602.46,1.00013
y_rep[27],70.8016,0.162628,9.7458,9.73411,54.528,70.8536,86.6814,3607.99,3582.55,2498.61,1.00101
y_rep[28],70.8714,0.154748,9.80497,9.87468,54.7778,70.836,86.8063,4029.23,3930.69,2790.33,1.0002
y_rep[29],70.7745,0.154398,9.72674,9.44064,54.7122,70.7121,87.0012,4034.64,4013.09,2794.07,0.999341
y_rep[30],70.8238,0.167412,9.8055,9.95252,55.1816,70.6974,86.7512,3479.01,3409.14,2409.29,1.00177
y_rep[31],70.8445,0.155623,9.60174,9.52505,54.7709,71.0877,86.5122,3838.37,3548.69,2658.15,0.999697
y_rep[32],70.6004,0.16288,9.80316,9.71109,54.0544,70.6162,86.5534,3632.9,3801.18,2515.86,1.00015
y_rep[33],76.4325,0.151463,9.56701,9.55446,60.5681,76.4156,92.2175,4030.22,3640.91,2791.01,1.00003
y_rep[34],70.7232,0.154813,9.76228,9.49701,54.5866,70.7847,86.7039,3972.26,3981.42,2750.88,1.00017
y_rep[35],70.8961,0.164296,9.87388,9.82795,54.6929,70.9458,86.9803,3584.5,3639.16,2482.34,1.00041
y_rep[36],80.0742,0.156888,9.70786,9.5728,64.0346,80.2534,95.7048,3839.2,4100.23,2658.72,0.999916
y_rep[37],79.8099,0.173794,9.93302,9.96832,63.4529,79.8696,96.2052,3362.83,3859.3,2328.83,1.00213
y_rep[38],74.5168,0.150316,9.58678,9.52311,59.064,74.354,90.3102,4092.51,3910.24,2834.15,1.00014
y_rep[39],79.4511,0.159576,9.93628,9.69795,63.2211,79.3658,96.0857,3883.72,4100.71,2689.56,1.00006
y_rep[40],74.7762,0.151877,9.60295,10.0715,59.1274,74.7421,90.3704,3997.69,4082.8,2768.49,1.00039
y_rep[41],74.6304,0.160037,9.73095,9.52806,58.9566,74.5923,90.8608,3716.58,3875.33,2573.81,1.00097
y_rep[42],74.6914,0.152338,9.68522,9.71138,58.9978,74.9078,90.6288,4069.3,3953.87,2818.08,1.00025
y_rep[43],74.6892,0.148952,9.63412,9.57026,59.0003,74.5894,90.7777,4189.52,3949.48,2901.33,0.999953
y_rep[44],79.9052,0.152035,9.70061,9.63777,63.836,80.1574,95.7638,4096.0,3883.9,2836.57,0.999701
y_rep[45],74.8199,0.154999,9.55225,9.7367,59.3588,74.9752,90.3227,3825.4,3650.55,2649.17,0.999718
y_rep[46],79.5855,0.155105,9.84436,9.4953,63.3047,79.7034,95.7863,4061.89,3824.08,2812.94,1.00058
y_rep[47],79.6996,0.158736,9.80582,10.037,63.5274,79.7419,95.7239,3820.4,3888.89,2645.7,1.00018
y_rep[48],74.5623,0.157973,9.70539,9.78968,58.4464,74.563,90.1103,3783.55,3927.39,2620.19,1.0012
y_rep[49],74.8409,0.152306,9.63037,9.77957,59.2328,74.6694,90.5185,3997.21,3891.94,2768.15,0.999668
y_rep[50],79.563,0.156568,9.64281,9.75202,63.689,79.5055,95.6965,3799.4,4147.24,2631.16,1.00004
y_rep[51],74.7515,0.159188,9.93659,10.207,58.4557,74.8105,91.5035,3910.36,3642.22,2708.01,1.00002
y_rep[52],74.2641,0.149211,9.61762,9.39233,58.3829,74.4435,90.0239,4162.71,3677.2,2882.77,1.00027
y_rep[53],74.86,0.159231,9.69589,9.6061,58.9878,74.8072,91.2716,3724.55,3824.24,2579.33,0.999936
y_rep[54],74.4784,0.158441,9.55783,9.27498,58.5087,74.6239,90.0641,3669.73,3740.35,2541.36,0.999656
y_rep[55],79.6099,0.153532,9.63572,9.67413,63.4248,79.5941,95.0819,3936.72,3721.17,2726.26,0.999898
y_rep[56],79.4542,0.155827,9.61342,9.45817,63.3877,79.283,95.2184,3819.67,3849.46,2645.2,1.00026
y_rep[57],79.5295,0.158897,9.84933,9.82652,63.6574,79.5018,95.7955,3899.08,3802.3,2700.2,0.999833
y_rep[58],79.9919,0.151007,9.79788,9.70215,63.741,79.9898,95.9249,4234.05,3718.22,2932.17,1.00006
y_rep[59],79.7931,0.15411,9.65559,9.73571,64.1199,79.6584,95.5725,3940.35,3955.64,2728.78,1.00077
y_rep[60],74.713,0.157217,9.79162,9.99409,58.5667,74.6562,90.5154,3921.86,3939.24,2715.97,0.999744
y_rep[61],76.6314,0.151997,9.7376,9.80433,60.66,76.6185,92.9155,4090.76,3697.65,2832.93,0.999848
y_rep[62],76.8056,0.151007,9.78605,9.78341,60.8191,76.773,93.0895,4215.31,3668.44,2919.19,1.00001
y_rep[63],84.6533,0.151558,9.80306,9.84449,68.7286,84.5449,100.667,4217.04,4076.16,2920.39,1.00075
y_rep[64],76.6896,0.156268,10.0245,9.89524,59.8581,76.6667,93.1757,4129.21,3828.34,2859.56,1.00083
y_rep[65],76.613,0.163123,9.70848,9.67742,60.7118,76.716,92.4466,3578.44,3407.41,2478.15,1.00131
y_rep[66],76.8577,0.159798,9.87185,9.88515,60.568,76.6513,93.3731,3929.87,4058.39,2721.52,1.00084
y_rep[67],84.4793,0.154806,9.86044,10.0138,68.2434,84.5706,100.265,4060.12,3998.05,2811.71,1.00018
y_rep[68],76.8073,0.163345,9.68793,9.6248,60.8886,76.7585,92.3674,3530.76,3925.9,2445.13,1.00047
y_rep[69],84.4188,0.15816,9.79491,9.77134,68.3278,84.3279,100.808,3869.85,3877.55,2679.95,1.0002
y_rep[70],84.8161,0.161032,10.0247,9.92709,68.3932,84.9866,101.227,3901.8,3969.62,2702.08,1.00029
y_rep[71],76.6713,0.152119,9.79453,9.55478,60.6429,76.7705,93.0631,4156.56,4059.11,2878.51,0.999818
y_rep[72],84.3895,0.161575,9.81729,9.71137,67.9082,84.4428,100.148,3701.08,3550.16,2563.07,0.999521
y_rep[73],76.7979,0.156796,9.81396,9.84438,60.7639,76.745,92.9715,3931.18,3510.67,2722.43,0.999573
y_rep[74],84.8305,0.154842,9.70352,9.99078,69.1223,84.799,100.742,3935.34,3795.2,2725.3,0.999744
y_rep[75],84.8263,0.155429,9.90468,9.88441,68.0639,84.7919,100.989,4077.34,3582.8,2823.64,1.00027
y_rep[76],84.67,0.157312,9.90797,9.74086,68.2561,84.8384,100.753,3974.09,3876.51,2752.14,1.00005
y_rep[77],76.9002,0.158889,9.72357,9.53046,61.2447,76.8612,92.8172,3743.9,3971.79,2592.73,1.00031
y_rep[78],84.6757,0.164675,9.94592,9.78341,68.3684,84.7596,100.998,3707.65,3701.89,2567.63,1.00001
y_rep[79],70.9371,0.159386,9.7743,9.74975,54.8661,71.0968,86.5634,3776.21,4095.17,2615.1,1.00007
y_rep[80],77.927,0.152873,9.63612,9.80933,62.2087,78.0883,93.566,3965.21,3780.24,2745.99,1.00066
y_rep[81],77.7668,0.159135,9.6039,9.62936,61.7163,77.6658,93.8328,3686.74,3985.76,2553.14,0.999993
y_rep[82],78.0943,0.157279,9.62391,9.4872,62.1016,78.1603,94.0618,3790.58,3511.94,2625.06,0.999646
y_rep[83],71.0577,0.164928,9.89755,9.78098,54.6683,70.9118,87.2596,3664.82,3850.66,2537.97,0.999866
y_rep[84],70.678,0.148125,9.63627,9.7164,55.0321,70.7712,86.5183,4235.23,4236.27,2932.99,1.00001
y_rep[85],78.0139,0.149827,9.7151,9.5438,61.8336,78.1741,93.8166,4199.74,4057.11,2908.4,0.999859
y_rep[86],77.859,0.15951,9.87208,9.82141,61.9198,78.0031,94.6322,3837.43,3811.51,2657.5,1.00033
y_rep[87],78.1142,0.156796,9.85558,10.0356,62.0748,78.2234,94.4825,3945.58,3893.33,2732.4,1.00048
y_rep[88],78.1441,0.15392,9.7126,9.68322,62.1422,78.2105,94.1197,4002.36,3971.38,2771.72,1.00029
y_rep[89],77.9303,0.151316,9.50873,9.40982,62.513,77.7753,94.0273,3957.04,3722.62,2740.33,0.999983
y_rep[90],70.827,0.153996,9.75784,10.0253,54.9261,70.8593,86.7421,4048.92,3930.62,2803.96,1.00021
y_rep[91],71.0567,0.166073,9.73814,9.79933,55.0578,71.2162,87.0004,3503.93,3890.78,2426.55,1.00029
y_rep[92],77.8605,0.154907,9.84024,9.68854,61.8138,77.7732,94.1223,4047.9,3910.77,2803.26,0.999713
y_rep[93],77.7786,0.152022,9.85385,9.85948,61.3567,77.8375,93.9599,4202.09,3930.96,2910.04,0.999678
y_rep[94],70.9507,0.163603,9.72948,9.58437,54.6883,70.9515,86.7389,3552.25,3793.35,2460.0,1.00019
y_rep[95],70.8528,0.146335,9.62257,9.54518,55.1729,70.797,86.695,4336.57,3739.29,3003.17,1.00016
y_rep[96],78.003,0.150793,9.6107,9.58095,62.2949,77.8118,93.5229,4074.69,4008.6,2821.81,1.00065
y_rep[97],70.662,0.157582,9.83831,10.1763,54.6552,70.6719,86.9356,3900.88,3483.63,2701.44,1.00027
y_rep[98],70.9382,0.153942,9.69175,9.88817,55.2993,70.8707,87.0696,3993.67,3696.18,2765.7,1.00192
y_rep[99],78.0304,0.160915,9.72034,9.78815,61.9039,78.031,93.7507,3680.61,3812.94,2548.9,1.00014
y_rep[100],78.113,0.151751,9.61199,9.39018,62.2839,78.17,93.8387,4015.96,4059.06,2781.13,1.00172
y_rep[101],71.8666,0.147602,9.33401,9.25053,56.5124,72.1422,86.8175,4006.14,4056.14,2774.33,0.999952
y_rep[102],78.4378,0.155544,9.76425,9.91441,62.4046,78.5088,93.9957,3959.69,3953.29,2742.17,1.00051
y_rep[103],71.815,0.16134,9.6807,9.68612,55.9056,71.7355,87.9167,3622.65,3523.92,2508.76,1.00116
y_rep[104],71.7737,0.157931,9.82595,9.89627,55.7056,71.7927,87.8928,3909.55,3355.63,2707.44,1.00117
y_rep[105],78.5353,0.155925,9.6385,9.46814,62.7105,78.429,94.3735,3838.89,3889.78,2658.51,0.999762
y_rep[106],72.1262,0.155774,9.92837,9.95336,55.9487,72.0729,88.4581,4064.09,3972.63,2814.47,1.0
y_rep[107],78.2335,0.153447,9.71086,9.53606,62.0623,78.2815,94.3373,4011.53,3756.5,2778.07,0.999453
y_rep[108],78.3791,0.15214,9.65414,9.67385,62.6966,78.3994,94.1709,4081.72,3889.41,2826.67,1.00063
y_rep[109],78.279,0.153443,9.76541,9.78585,62.2089,78.2088,94.6969,4047.3,3969.0,2802.84,0.999985
y_rep[110],71.9528,0.15284,9.71382,9.73701,55.9895,71.9382,87.5767,4044.14,3915.25,2800.65,1.00175
y_rep[111],71.6022,0.15144,9.71975,9.60671,55.7575,71.5958,87.8055,4135.45,4002.27,2863.89,1.00015
y_rep[112],78.3514,0.156595,9.92973,9.92302,61.923,78.5639,94.4952,4027.57,3774.1,2789.18,1.00054
y_rep[113],71.5728,0.150171,9.71263,9.73943,55.2299,71.3749,87.2965,4187.95,3915.61,2900.24,1.00048
y_rep[114],78.474,0.152802,9.8934,9.84123,62.3469,78.4768,94.7899,4202.27,4056.45,2910.16,1.00145
y_rep[115],78.2899,0.157461,9.88852,9.7703,61.9458,78.137,94.6858,3949.89,3819.18,2735.38,1.00034
y_rep[116],78.6096,0.15177,9.82664,9.95616,62.4458,78.6079,94.4786,4204.39,3932.74,2911.63,0.999886
y_rep[117],71.6539,0.15019,9.53795,9.39347,55.9009,71.6056,87.3966,4049.01,3504.89,2804.03,1.00011
y_rep[118],85.31,0.155249,9.69304,9.67699,69.4934,85.2767,101.374,3905.89,3738.64,2704.91,0.99993
y_rep[119],85.3319,0.151701,9.64389,9.75708,69.4502,85.2495,101.336,4051.4,3617.02,2805.68,1.00012
y_rep[120],85.3739,0.150189,9.83047,9.89006,68.903,85.2654,101.798,4291.76,3792.46,2972.13,1.00023
y_rep[121],85.2203,0.154195,9.82843,9.5801,68.8065,85.1449,101.823,4080.09,3444.67,2825.55,0.999939
y_rep[122],85.1738,0.15075,9.54225,9.55196,69.3608,85.3373,100.61,4010.13,4012.53,2777.1,1.00142
y_rep[123],85.2122,0.150926,9.67286,9.70737,69.436,85.1392,101.244,4125.75,4140.68,2857.17,0.999698
y_rep[124],85.2348,0.153307,9.79302,9.6949,69.1867,85.0287,101.407,4088.81,3718.92,2831.59,1.00043
y_rep[125],85.2143,0.158185,9.77822,9.80946,69.4989,85.2773,101.226,3910.52,3787.53,2708.11,0.999773
y_rep[126],85.4986,0.157544,9.84348,9.93875,69.2567,85.6159,101.296,3919.81,3764.98,2714.55,0.999508
