sim_id,converged,alpha_true,alpha_mean,alpha_sd,alpha_hdi_low,alpha_hdi_high,alpha_covered,alpha_error,alpha_z,beta_weight_true,beta_weight_mean,beta_weight_sd,beta_weight_hdi_low,beta_weight_hdi_high,beta_weight_covered,beta_weight_error,beta_weight_z,beta_year_true,beta_year_mean,beta_year_sd,beta_year_hdi_low,beta_year_hdi_high,beta_year_covered,beta_year_error,beta_year_z,sigma_true,sigma_mean,sigma_sd,sigma_hdi_low,sigma_hdi_high,sigma_covered,sigma_error,sigma_z,max_rhat,min_ess_bulk,n_divergent
0,True,3.1,3.093,0.011,3.072,3.113,True,-0.007000000000000117,-0.636363636363647,-0.9,-0.858,0.026,-0.907,-0.809,True,0.04200000000000004,1.615384615384617,0.03,0.029,0.003,0.023,0.034,True,-0.0009999999999999974,-0.3333333333333325,0.15,0.15,0.008,0.136,0.164,True,0.0,0.0,1.0,3604.0,0
1,True,3.1,3.105,0.01,3.086,3.124,True,0.004999999999999893,0.49999999999998934,-0.9,-0.849,0.025,-0.896,-0.803,False,0.051000000000000045,2.040000000000002,0.03,0.033,0.003,0.028,0.038,True,0.0030000000000000027,1.0000000000000009,0.15,0.142,0.007,0.129,0.156,True,-0.008000000000000007,-1.142857142857144,1.0,3630.0,0
2,True,3.1,3.082,0.011,3.061,3.102,True,-0.018000000000000238,-1.636363636363658,-0.9,-0.937,0.026,-0.986,-0.89,True,-0.03700000000000003,-1.4230769230769245,0.03,0.029,0.003,0.023,0.035,True,-0.0009999999999999974,-0.3333333333333325,0.15,0.153,0.008,0.139,0.168,True,0.0030000000000000027,0.37500000000000033,1.0,3878.0,0
3,True,3.1,3.105,0.011,3.084,3.127,True,0.004999999999999893,0.45454545454544487,-0.9,-0.861,0.028,-0.917,-0.811,True,0.039000000000000035,1.3928571428571441,0.03,0.029,0.003,0.023,0.035,True,-0.0009999999999999974,-0.3333333333333325,0.15,0.162,0.008,0.145,0.176,True,0.01200000000000001,1.5000000000000013,1.0,3865.0,0
4,True,3.1,3.105,0.011,3.085,3.127,True,0.004999999999999893,0.45454545454544487,-0.9,-0.927,0.027,-0.978,-0.874,True,-0.027000000000000024,-1.0000000000000009,0.03,0.033,0.003,0.028,0.039,True,0.0030000000000000027,1.0000000000000009,0.15,0.154,0.008,0.138,0.168,True,0.0040000000000000036,0.5000000000000004,1.0,3575.0,0
